Page URL,Hreflang,Issue Type,Discovered
https://sweet-home.co.il/,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/owners,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/services,,No self-referencing hreflang,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/,de,Conflicting hreflang and rel=canonical,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/owners,de,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/services,de,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/,en,Conflicting hreflang and rel=canonical,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/owners,en,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/services,en,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/,es,Conflicting hreflang and rel=canonical,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/owners,es,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/services,es,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/,x-default,Conflicting hreflang and rel=canonical,02 Jan 2026 (14:22 UTC)
https://sweet-home.co.il/owners,x-default,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
https://sweet-home.co.il/services,x-default,Conflicting hreflang and rel=canonical,05 Jan 2026 (18:36 UTC)
